track_name,artist_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Start A Fire - Full Eurovision Version,Dilara Kazimova,0.3,0.316,11,-7.351,0,0.0311,0.834,0,0.183,0.311,85.076,audio_features,3xTzDgXwnvIR5G3Qzd8aQP,spotify:track:3xTzDgXwnvIR5G3Qzd8aQP,https://api.spotify.com/v1/tracks/3xTzDgXwnvIR5G3Qzd8aQP,https://api.spotify.com/v1/audio-analysis/3xTzDgXwnvIR5G3Qzd8aQP,179947,3
Vampires Are Alive,DJ BoBo,0.64,0.72,5,-6.266,0,0.0294,0.16,0,0.268,0.495,134.03,audio_features,7EHRgSmiO0bjcZ1ulKcsX7,spotify:track:7EHRgSmiO0bjcZ1ulKcsX7,https://api.spotify.com/v1/tracks/7EHRgSmiO0bjcZ1ulKcsX7,https://api.spotify.com/v1/audio-analysis/7EHRgSmiO0bjcZ1ulKcsX7,170053,4
Bones,Equinox,0.477,0.661,6,-6.952,0,0.048,0.137,3.17e-05,0.111,0.496,87.965,audio_features,39qWzdNJSioJzfemhwXtDw,spotify:track:39qWzdNJSioJzfemhwXtDw,https://api.spotify.com/v1/tracks/39qWzdNJSioJzfemhwXtDw,https://api.spotify.com/v1/audio-analysis/39qWzdNJSioJzfemhwXtDw,179659,4
Get A Life - Get Alive,Eric Papilaya,0.667,0.624,10,-4.837,1,0.036,0.0153,0,0.22,0.785,127.968,audio_features,7LdSXT58e3lV2vu2BuY16l,spotify:track:7LdSXT58e3lV2vu2BuY16l,https://api.spotify.com/v1/tracks/7LdSXT58e3lV2vu2BuY16l,https://api.spotify.com/v1/audio-analysis/7LdSXT58e3lV2vu2BuY16l,180307,4
Non mi avete fatto niente,"Ermal Meta, Fabrizio Moro",0.433,0.893,6,-4.581,1,0.0647,0.314,0,0.137,0.691,89.319,audio_features,0fH7Ps9TYlAE41p2hByQvE,spotify:track:0fH7Ps9TYlAE41p2hByQvE,https://api.spotify.com/v1/tracks/0fH7Ps9TYlAE41p2hByQvE,https://api.spotify.com/v1/audio-analysis/0fH7Ps9TYlAE41p2hByQvE,207387,4
Another Summer Night - Radio Edit,Fabrizio Faniello,0.682,0.933,9,-5.758,0,0.0809,0.144,0,0.0467,0.611,125.93,audio_features,2TumtigUX7Z0RCiBlFT8YL,spotify:track:2TumtigUX7Z0RCiBlFT8YL,https://api.spotify.com/v1/tracks/2TumtigUX7Z0RCiBlFT8YL,https://api.spotify.com/v1/audio-analysis/2TumtigUX7Z0RCiBlFT8YL,176667,4
Hold me - Full Version,Farid Mammadov,0.511,0.778,10,-3.605,0,0.0292,0.0123,0,0.184,0.359,89.998,audio_features,2Xfav1hvYvP7pBAumIQLxC,spotify:track:2Xfav1hvYvP7pBAumIQLxC,https://api.spotify.com/v1/tracks/2Xfav1hvYvP7pBAumIQLxC,https://api.spotify.com/v1/audio-analysis/2Xfav1hvYvP7pBAumIQLxC,174571,4
Vida Minha - Radio Edit,Filipa Sousa,0.577,0.849,6,-3.87,1,0.0682,0.754,0,0.0984,0.475,107.909,audio_features,7xZHQYJfDNrt0mFYO3TgJX,spotify:track:7xZHQYJfDNrt0mFYO3TgJX,https://api.spotify.com/v1/tracks/7xZHQYJfDNrt0mFYO3TgJX,https://api.spotify.com/v1/audio-analysis/7xZHQYJfDNrt0mFYO3TgJX,176663,4
No Degree of Separation - Eurovision Version,Francesca Michielin,0.286,0.777,0,-3.661,1,0.0424,0.0197,0,0.165,0.339,149.965,audio_features,60hZOS486h0b6nvykyvR7a,spotify:track:60hZOS486h0b6nvykyvR7a,https://api.spotify.com/v1/tracks/60hZOS486h0b6nvykyvR7a,https://api.spotify.com/v1/audio-analysis/60hZOS486h0b6nvykyvR7a,188133,4
Occidentali's Karma (DJ Ross & Savietto Remix),"Francesco Gabbani, DJ Ross, Savietto",0.739,0.905,10,-3.602,1,0.0828,0.0106,0.0109,0.101,0.484,124.992,audio_features,3E66oUzZuTvnDN3IQGMAbP,spotify:track:3E66oUzZuTvnDN3IQGMAbP,https://api.spotify.com/v1/tracks/3E66oUzZuTvnDN3IQGMAbP,https://api.spotify.com/v1/audio-analysis/3E66oUzZuTvnDN3IQGMAbP,257280,4
